,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
6,6,Collateral Beauty,1177943.0,408.0,2887.1151960784314,Warner Bros,01-01-2017
7,7,Ballerina,594356.0,524.0,1134.2671755725191,eOne Films,01-01-2017
8,8,Dangal,391594.0,149.0,2628.1476510067114,UTV Motion Pictures,01-01-2017
9,9,Sully: Miracle on the Hudson,247621.0,265.0,934.4188679245284,Warner Bros,01-01-2017
10,10,Trolls,126568.0,243.0,520.8559670781893,20th Century Fox,01-01-2017
11,11,Arrival,65806.0,97.0,678.4123711340206,eOne Films,01-01-2017
12,12,Berliner Philharmoniker Live 2016 - New Year's Gala Concert,51162.0,44.0,1162.7727272727273,More2Screen,01-01-2017
13,13,The Secret Life of Pets,48799.0,278.0,175.5359712230216,Universal,01-01-2017
14,14,Storks,39224.0,151.0,259.7615894039735,Warner Bros,01-01-2017
0,0,Slumdog Millionaire,2359854.0,416.0,5672.725961538462,Pathé,01-02-2009
1,1,Valkyrie,1295050.0,455.0,2846.263736263736,20th Century Fox,01-02-2009
2,2,Revolutionary Road,1013548.0,252.0,4022.015873015873,Paramount,01-02-2009
3,3,My Bloody Valentine,921939.0,188.0,4903.93085106383,Lions Gate,01-02-2009
4,4,Beverly Hills Chihuahua,744252.0,437.0,1703.0938215102974,Disney,01-02-2009
5,5,Seven Pounds,732786.0,374.0,1959.3208556149727,Sony Pictures,01-02-2009
6,6,Bride Wars,692414.0,380.0,1822.1421052631576,20th Century Fox,01-02-2009
7,7,Role Models,663299.0,311.0,2132.7942122186496,Universal,01-02-2009
8,8,Underworld 3,521904.0,334.0,1562.5868263473053,Entertainment,01-02-2009
9,9,Nick & Nora's Infinite Playlist,398194.0,252.0,1580.1349206349207,Sony Pictures,01-02-2009
10,10,Frost/Nixon,341099.0,295.0,1156.2677966101694,Universal,01-02-2009
11,11,Madagascar: Escape 2 Africa,326664.0,404.0,808.5742574257425,Paramount,01-02-2009
12,12,Bedtime Stories,291316.0,361.0,806.9695290858725,Disney,01-02-2009
13,13,The Reader,284276.0,226.0,1257.858407079646,Entertainment,01-02-2009
14,14,Twilight,218224.0,276.0,790.6666666666666,E1 Films,01-02-2009
0,0,Big Hero 6,4293286.0,501.0,8569.433133732535,Disney,01-02-2015
1,1,Kingsman: The Secret Service,4241292.0,533.0,7957.395872420263,20th Century Fox,01-02-2015
2,2,American Sniper,1586745.0,481.0,3298.846153846154,Warner Bros,01-02-2015
3,3,The Theory of Everything,1032912.0,509.0,2029.2966601178784,Universal,01-02-2015
4,4,Taken 3,801562.0,403.0,1988.987593052109,20th Century Fox,01-02-2015
5,5,Into the Woods,734370.0,488.0,1504.8565573770493,Disney,01-02-2015
6,6,Paddington,442869.0,513.0,863.2923976608187,StudioCanal,01-02-2015
7,7,Ex Machina,410327.0,410.0,1000.7975609756096,Universal,01-02-2015
8,8,Inherent Vice,363133.0,187.0,1941.8877005347597,Warner Bros,01-02-2015
