,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date,Film
0,15,Total,5813535.0,4560.0,1274.8980263157894,,13102013,
0,15,,17374255.0,,,,13102019,Total
0,15,Total,10706772.0,4657.0,2299.0706463388447,,13112011,
0,15,,11788459.885562908,392.53333333333336,1761.5266765908605,,13112016,Total
0,15,,15710950.0,,,,13112022,Total
0,15,Total,7205408.0,4632.0,1555.5716753022452,,13122009,
0,15,,6322819.0,,,,13122015,Total
0,15,,637466.0,,,,13122020,Total
0,15,,17604339.72692327,404.6666666666667,3225.3633811793484,,14012018,Total
0,15,Total,16931733.0,4674.0,3622.53594351733,,14022010,
0,15,,26201085.0,,,,14022016,Total
0,15,Total,14765270.0,4253.0,3471.7305431460145,,14032010,
0,15,Total,11715342.0,5014.0,2336.5261268448344,,14042013,
0,15,,11788225.0,,,,14042019,Total
0,15,,11580199.923556132,322.6,1849.2760235328603,,14052017,Total
0,15,Total,9269269.0,4486.0,2066.2659384752565,,14062009,
0,15,,24436481.0,,,,14062015,Total
0,15,Total,10553737.0,3741.0,2821.100507885592,,14072013,
0,15,,13778781.0,,,,14072019,Total
0,15,Total,16919457.0,4980.0,3397.481325301205,,14082011,
0,15,,14218845.0,378.3333333333333,2230.436337417386,,14082016,Total
0,15,,6766056.0,,,,14082022,Total
0,15,Total,8403110.0,4715.0,1782.2078472958642,,14092008,
0,15,Total,7704015.0,5384.0,1430.909175334324,,14092014,
0,15,Total,9479328.0,3740.0,2534.579679144385,,14102007,
0,15,Total,9767559.0,4073.0,2398.123987232998,,14102012,
0,15,,17699093.0,382.9333333333333,2489.4865114021286,,14102018,Total
0,15,Total,8695164.0,5091.0,1707.9481437831466,,14112010,
0,15,,9071259.0,,,,14112021,Total
0,15,Total,8928753.0,3696.0,2415.7881493506493,,14122008,
0,15,Total,17732604.0,5302.0,3344.512259524708,,14122014,
0,15,Total,13418954.0,4685.0,2864.237780149413,,15012012,
0,15,,15657890.952232163,423.6,2305.688705621466,,15012017,Total
0,15,,13037574.0,,,,15012023,Total
0,15,Total,17596805.0,4410.0,3990.205215419501,,15022009,
0,15,Total,22730660.0,,,,15022015,
0,15,Total,10366716.0,4230.0,2450.7602836879432,,15032009,
0,15,,6539626.0,,,,15032015,Total
0,15,,5623810.0,,,,15032020,Total
0,15,Total,13212521.0,4646.0,2843.8486870426173,,15042012,
0,15,,13987039.971171962,408.9333333333333,17108.833820605105,,15042018,Total
0,15,Total,7996275.0,4473.0,1787.6760563380285,,15052011,
0,15,,9431710.0,,,,15052016,Total
0,15,,10104669.0,,,,15052022,Total
0,15,Total,10303287.0,3622.0,2844.640254003313,,15062008,
0,15,Total,7182659.0,4903.0,1464.9518662043647,,15062014,
0,15,Total,22256829.0,2741.0,8119.966800437796,,15072007,
0,15,Total,18628856.0,3599.0,5176.120033342595,,15072012,
0,15,,14533762.717725713,322.53333333333336,1851.0070931160724,,15072018,Total
0,15,Total,13116132.0,4870.0,2693.250924024641,,15082010,
0,15,,9391862.0,,,,15082021,Total
0,15,Total,11585516.0,5834.0,1985.8615015426808,,15092013,
0,15,,12591339.0,,,,15092019,Total
0,15,,12926796.877580162,374.6,2122.9257135520006,,15102017,Total
0,15,Total,14460907.0,4334.0,3336.619058606368,,15112009,
0,15,,15322694.0,,,,15112015,Total
0,15,,28254.0,,,,15112020,Total
0,15,Total,16998253.0,4199.0,4048.1669445105977,,15122013,
0,15,,16580220.0,,,,15122019,Total
0,15,Total,13750035.0,4892.0,2810.7185200327062,,16012011,
0,15,,8718340.0,,,,16012022,Total
0,15,Total,18964328.06,5374.0,3528.903621138817,,16022014,
0,15,,17380220.0,,,,16022020,Total
0,15,Total,6886410.0,3611.0,1907.0645250623097,,16032008,
0,15,,24194226.0,331.6666666666667,17462.541218095335,,16042017,Total
0,15,Total,11053246.0,4526.0,2442.166593018117,,16052010,
0,15,Total,16937869.0,4139.0,4092.2611741966657,,16062013,
0,15,,12076125.45774059,,,,16062019,Total
0,15,,19411130.713950884,308.26666666666665,2624.002377237047,,16072017,Total
0,15,Total,9387122.0,4943.0,1899.07384179648,,16082009,
0,15,,12309101.0,,,,16082015,Total
0,15,,897528.0,,,,16082020,Total
0,15,Total,7980085.0,4707.0,1695.3654132143615,,16092007,
0,15,Total,8665801.0,4710.0,1839.872823779193,,16092012,
0,15,Total,10605738.0,4194.0,2528.788268955651,,16102011,
0,15,,15348938.933282277,362.06666666666666,2173.827402305919,,16102016,Total
0,15,,9979513.0,,,,16102022,Total
0,15,Total,10550508.0,4204.0,2509.6355851569933,,16112008,
0,15,Total,12611279.0,5212.0,2419.662125863392,,16112014,
0,15,Total,10334013.0,3491.0,2960.18705242051,,16122007,
0,15,Total,16817018.0,4532.0,3710.727714033539,,16122012,
0,15,,15323275.630856518,392.0,2503.53435096072,,16122018,Total
0,15,Total,15712533.0,4434.0,3543.64749661705,,17012010,
0,15,,16457817.0,,,,17012016,Total
0,15,Total,11269578.0,4522.0,2492.1667403803626,,17022008,
0,15,Total,15808891.0,4971.0,3180.2234962784146,,17022013,
0,15,,12254264.0,,,,17022019,Total
0,15,Total,6439830.0,4414.0,1458.9555958314454,,17032013,
0,15,,11970307.91402358,,,,17032019,Total
0,15,Total,8400964.0,4355.0,1929.0388059701493,,17042011,
0,15,,16587620.0,,,,17042016,Total
0,15,,11878811.0,,,,17042022,Total
0,15,Total,15662552.0,4186.0,3741.6512183468703,,17052009,
0,15,,13975800.0,,,,17052015,Total
0,15,Total,10091875.0,3334.0,3026.9571085782845,,17062007,
0,15,Total,8775666.0,4567.0,1921.5384278519816,,17062012,
0,15,,13774136.28324848,338.53333333333336,13248.91235345472,,17062018,Total
0,15,Total,29582087.0,3166.0,9343.678774478838,,17072011,
0,15,,16502377.0,365.4285714285714,2301.8571428571427,,17072016,Total
0,15,,9832119.0,,,,17072022,Total
0,15,Total,11473593.0,4603.0,2492.633717140995,,17082008,
0,15,Total,12326847.0,4907.0,2512.094355003057,,17082014,
0,15,,12129887.39815301,396.1333333333333,1608.3841380323954,,17092017,Total
0,15,,10408301.61332932,400.73333333333335,1543.007392199453,,17092018,Total
0,15,Total,10544637.0,4564.0,2310.393733567046,,17102010,
0,15,,19288520.0,,,,17102021,Total
0,15,Total,12414882.0,4840.0,2565.05826446281,,17112013,
0,15,,9589810.0,,,,17112019,Total
0,15,,31884751.80534224,271.6666666666667,3585.392093112669,,17122017,Total
0,15,Total,14330840.0,5170.0,2771.9226305609286,,18012009,
0,15,Total,15844000.0,5786.0,3337.452644313861,,18012015,
0,15,,30212869.209397115,403.6666666666667,3839.857947356,,18022018,Total
0,15,Total,9721040.0,4763.0,2040.9489817342007,,18032012,
0,15,,16618994.0,376.3333333333333,3329.02032943927,,18032018,Total
0,15,Total,9831910.0,4796.0,2050.0229357798166,,18042010,
0,15,Total,6166963.0,3646.0,1691.4325287986835,,18052008,
0,15,Total,9830971.0,4516.0,2176.9200620017714,,18052014,
0,15,,6036232.6986733405,341.3333333333333,1213.732836129382,,18062017,Total
0,15,Total,15260710.0,2767.0,5515.254788579689,,18072010,
0,15,,5819209.0,,,,18072021,Total
0,15,Total,13999033.0,5890.0,2376.7458404074705,,18082013,
0,15,,16953990.0,,,,18082019,Total
0,15,Total,9386355.0,5088.0,1844.8024764150944,,18092011,
0,15,,14213204.509225722,347.0,2513.158826829105,,18092016,Total
0,15,,3968767.0,,,,18092022,Total
0,15,Total,10988673.0,3968.0,2769.3228326612902,,18102009,
0,15,,18221476.0,,,,18102015,Total
0,15,,986037.0,,,,18102020,Total
0,15,Total,9344258.0,4110.0,2273.542092457421,,18112007,
0,15,Total,25596816.0,3543.0,7224.616426756986,,18112012,
0,15,,23084368.30594828,356.2,2892.4931314046667,,18112018,Total
0,15,Total,11125174.0,4489.0,2478.319002004901,,18122011,
0,15,Pitbull: Niebezpieczne Kobiety,22189546.9535865,288.1333333333333,2602.2441872489585,,18122016,
0,15,,14096420.0,,,,18122022,Total
0,15,Total,16220271.50908758,5711.0,2840.1806179456453,,19012014,
0,15,,18118329.0,,,,19012020,Total
0,15,Total,15164954.0,5096.0,2975.8543956043954,,19022012,
0,15,,19727847.325409405,352.93333333333334,28287.1013434881,,19022017,Total
0,15,,15454507.0,,,,19022023,Total
0,15,,28414827.178269327,320.93333333333334,11929.199330165367,,19032017,Total
0,15,Total,10109510.0,4629.0,2183.951177360121,,19042009,
0,15,,8165975.0,,,,19042015,Total
0,15,Total,18715231.0,3607.0,5188.586359855836,,19052013,
0,15,,,,,,19052019,Total
