cinema_name,cinema_url,postcode_category
Hackney Picturehouse,https://www.google.com/maps/place/Hackney+Picturehouse/data=!4m7!3m6!1s0x48761ce4efa0cde7:0x84e53a537d9126ef!8m2!3d51.5446763!4d-0.0550042!16s%2Fg%2F11hgl4d2fg!19sChIJ582g7-QcdkgR7yaRfVM65YQ?authuser=0&hl=en&rclk=1,East+London
Cineworld Cinema West India Quay,https://www.google.com/maps/place/Cineworld+Cinema+West+India+Quay/data=!4m7!3m6!1s0x487602c7b0543721:0x9f4434f74a36a611!8m2!3d51.5078639!4d-0.022363!16s%2Fm%2F0pkzs2c!19sChIJITdUsMcCdkgREaY2Svc0RJ8?authuser=0&hl=en&rclk=1,East+London
Everyman Canary Wharf,https://www.google.com/maps/place/Everyman+Canary+Wharf/data=!4m7!3m6!1s0x487602b73a00cddb:0x8a0668cd288be896!8m2!3d51.5061671!4d-0.0180542!16s%2Fg%2F11c3kct943!19sChIJ280AOrcCdkgRluiLKM1oBoo?authuser=0&hl=en&rclk=1,East+London
Peckhamplex,https://www.google.com/maps/place/Peckhamplex/data=!4m7!3m6!1s0x487603a04ed28a3b:0x281104011b747159!8m2!3d51.4707274!4d-0.0682969!16s%2Fg%2F11y6cgylr!19sChIJO4rSTqADdkgRWXF0GwEEESg?authuser=0&hl=en&rclk=1,East+London
ODEON Surrey Quays,https://www.google.com/maps/place/ODEON+Surrey+Quays/data=!4m7!3m6!1s0x487602dfa8343619:0xc626e03c5ec8fce5!8m2!3d51.4960579!4d-0.0448668!16s%2Fg%2F124sq6w4j!19sChIJGTY0qN8CdkgR5fzIXjzgJsY?authuser=0&hl=en&rclk=1,East+London
Rio Cinema,https://www.google.com/maps/place/Rio+Cinema/data=!4m7!3m6!1s0x48761c8c30e2e01f:0xc6fb4861ffc911f4!8m2!3d51.5496766!4d-0.0755165!16s%2Fm%2F011snh23!19sChIJH-DiMIwcdkgR9BHJ_2FI-8Y?authuser=0&hl=en&rclk=1,East+London
Curzon Hoxton,https://www.google.com/maps/place/Curzon+Hoxton/data=!4m7!3m6!1s0x48761ca4e83a4dd1:0xd56636633a20126b!8m2!3d51.5288916!4d-0.0837518!16s%2Fg%2F11n07_1s46!19sChIJ0U066KQcdkgRaxIgOmM2ZtU?authuser=0&hl=en&rclk=1,East+London
Greenwich Picturehouse,https://www.google.com/maps/place/Greenwich+Picturehouse/data=!4m7!3m6!1s0x4876028606c5ee49:0xc30a050deb4e042f!8m2!3d51.4794877!4d-0.0096668!16s%2Fg%2F1tj5kmhn!19sChIJSe7FBoYCdkgRLwRO6w0FCsM?authuser=0&hl=en&rclk=1,East+London
Rich Mix,https://www.google.com/maps/place/Rich+Mix/data=!4m7!3m6!1s0x48761cb773453e0d:0xd118b06abc74934c!8m2!3d51.5243955!4d-0.0731968!16s%2Fm%2F02rzgvs!19sChIJDT5Fc7ccdkgRTJN0vGqwGNE?authuser=0&hl=en&rclk=1,East+London
Vue Cinema London - Westfield Stratford,https://www.google.com/maps/place/Vue+Cinema+London+-+Westfield+Stratford/data=!4m7!3m6!1s0x48761d7d1bf92139:0x55d4ac78e4f19bf6!8m2!3d51.5436692!4d-0.0064932!16s%2Fg%2F1yh9ttsvn!19sChIJOSH5G30ddkgR9pvx5His1FU?authuser=0&hl=en&rclk=1,East+London
East Dulwich Picturehouse & Cafe,https://www.google.com/maps/place/East+Dulwich+Picturehouse+%26+Cafe/data=!4m7!3m6!1s0x48760393f62bc883:0xdfb0aebad8748184!8m2!3d51.4564201!4d-0.076172!16s%2Fg%2F11b6q3f_bp!19sChIJg8gr9pMDdkgRhIF02LqusN8?authuser=0&hl=en&rclk=1,East+London
Everyman Broadgate,https://www.google.com/maps/place/Everyman+Broadgate/data=!4m7!3m6!1s0x48761d8c30f23d6f:0xff38a3abfff7d2d!8m2!3d51.5193479!4d-0.0847723!16s%2Fg%2F11fjs7dnkl!19sChIJbz3yMIwddkgRLX3_vzqK8w8?authuser=0&hl=en&rclk=1,East+London
Sands Films Studio,https://www.google.com/maps/place/Sands+Films+Studio/data=!4m7!3m6!1s0x487603242e89932b:0x390e22afb0f42bc9!8m2!3d51.5014193!4d-0.0534575!16s%2Fg%2F1tffj7fb!19sChIJK5OJLiQDdkgRySv0sK8iDjk?authuser=0&hl=en&rclk=1,East+London
CH Cinema - The Ultimate Drive-in and Outdoor Experience,https://www.google.com/maps/place/CH+Cinema+-+The+Ultimate+Drive-in+and+Outdoor+Experience/data=!4m7!3m6!1s0x487603b87dfc5803:0x57264aa2c2df6e84!8m2!3d51.5112549!4d-0.0873154!16s%2Fg%2F11j1xm0p6y!19sChIJA1j8fbgDdkgRhG7fwqJKJlc?authuser=0&hl=en&rclk=1,East+London
"Cineworld Cinema at The O2, Greenwich","https://www.google.com/maps/place/Cineworld+Cinema+at+The+O2,+Greenwich/data=!4m7!3m6!1s0x47d8a81dcaaaaaab:0xb3ca4f4fde6ca073!8m2!3d51.5031924!4d0.0044716!16s%2Fg%2F12hlyx0qh!19sChIJq6qqyh2o2EcRc6Bs3k9PyrM?authuser=0&hl=en&rclk=1",East+London
Empire Cinemas - Walthamstow,https://www.google.com/maps/place/Empire+Cinemas+-+Walthamstow/data=!4m7!3m6!1s0x48761de90c48d16b:0x5efb3fc92821af7a!8m2!3d51.5849557!4d-0.0200322!16s%2Fg%2F11btmcj8yf!19sChIJa9FIDOkddkgReq8hKMk_-14?authuser=0&hl=en&rclk=1,East+London
Barbican Cinemas,https://www.google.com/maps/place/Barbican+Cinemas/data=!4m7!3m6!1s0x48761ca9ec51a725:0xa4b193563665e88e!8m2!3d51.5210653!4d-0.0927991!16s%2Fg%2F11bcdywmmz!19sChIJJadR7KkcdkgRjuhlNlaTsaQ?authuser=0&hl=en&rclk=1,East+London
Pop-Up Cinema,https://www.google.com/maps/place/Pop-Up+Cinema/data=!4m7!3m6!1s0x47d8a9f3275f5b9d:0xe86dca94b58be80c!8m2!3d51.5004856!4d0.0054242!16s%2Fg%2F11f8jx9lpm!19sChIJnVtfJ_Op2EcRDOiLtZTKbeg?authuser=0&hl=en&rclk=1,East+London
Crown Cinema,https://www.google.com/maps/place/Crown+Cinema/data=!4m7!3m6!1s0x48761df7609031db:0xf5a0da5e9cfd4488!8m2!3d51.5884305!4d-0.0043551!16s%2Fg%2F11j8lm3fwv!19sChIJ2zGQYPcddkgRiET9nF7aoPU?authuser=0&hl=en&rclk=1,East+London
Vue Cinemas,https://www.google.com/maps/place/Vue+Cinemas/data=!4m7!3m6!1s0x48761b42c64656fd:0xba93d66bde158466!8m2!3d51.534207!4d-0.1059779!16s%2Fg%2F1tf9xxl2!19sChIJ_VZGxkIbdkgRZoQV3mvWk7o?authuser=0&hl=en&rclk=1,East+London
Stow Film Lounge,https://www.google.com/maps/place/Stow+Film+Lounge/data=!4m7!3m6!1s0x48761dd1e1b0f667:0xdd753aec9a425969!8m2!3d51.5887554!4d-0.0399399!16s%2Fg%2F11fyx6rjsn!19sChIJZ_aw4dEddkgRaVlCmuw6dd0?authuser=0&hl=en&rclk=1,East+London
Shoreditch Screening Room,https://www.google.com/maps/place/Shoreditch+Screening+Room/data=!4m7!3m6!1s0x48761defed4fc103:0xff93f1112bb60358!8m2!3d51.524303!4d-0.0739881!16s%2Fg%2F11qpy9kkf5!19sChIJA8FP7e8ddkgRWAO2KxHxk_8?authuser=0&hl=en&rclk=1,East+London
